date,m1,spy
2016-04,105.8495,204.350006
2016-05,107.1435,206.919998
2016-06,107.4248,209.119995
2016-07,107.4215,209.479996
2016-08,109.8472,217.190002
2016-09,110.1252,217.369995
2016-10,110.3139,215.820007
2016-11,111.0287,212.929993
2016-12,110.5621,220.729996
2017-01,112.2267,225.039993
2017-02,112.6072,227.529999
2017-03,114.1891,238.389999
2017-04,114.2123,235.800003
2017-05,116.36,238.679993
2017-06,116.6513,241.970001
2017-07,117.4356,242.880005
2017-08,118.7328,247.460007
2017-09,118.1835,247.919998
2017-10,119.3451,251.490005
2017-11,120.1625,258.040009
2017-12,119.4874,264.76001
2018-01,120.9964,267.839996
2018-02,119.7654,281.070007
2018-03,121.2347,271.410004
2018-04,120.9633,262.549988
2018-05,120.8177,263.869995
2018-06,120.8641,272.410004
2018-07,121.7013,269.51001
2018-08,122.2209,281.559998
2018-09,122.5055,289.839996
2018-10,123.3792,292.109985
2018-11,122.6313,271.600006
2018-12,124.5441,280.279999
2019-01,124.2595,245.979996
2019-02,124.5275,270.149994
2019-03,123.5579,280.440002
2019-04,124.928,284.700012
2019-05,125.1993,294.720001
2019-06,126.5628,275.309998
2019-07,127.635,296.679993
2019-08,127.7045,297.600006
2019-09,129.0646,290.570007
2019-10,130.2328,297.73999
2019-11,130.8947,304.920013
2019-12,132.6089,314.589996
2020-01,132.1622,323.540009
2020-02,132.47,323.350006
2020-03,141.0412,298.209991
2020-04,158.1803,247.979996
2020-05,537.2034,285.309998
2020-06,548.1442,303.619995
2020-07,554.7728,309.570007
2020-08,559.1709,328.320007
2020-09,567.9341,350.209991
2020-10,574.6785,337.690002
2020-11,583.3292,330.200012
2020-12,590.2027,365.570007
2021-01,599.2239,375.309998
2021-02,607.8481,373.720001
2021-03,616.9091,385.589996
2021-04,626.3772,398.399994
2021-05,637.3708,419.429993
2021-06,639.3564,422.570007
2021-07,645.2405,428.869995
2021-08,653.4841,440.339996
2021-09,658.5275,452.559998
2021-10,663.9714,430.980011
2021-11,671.1328,460.299988
2021-12,676.1233,461.640015
2022-01,681.2429,476.299988
2022-02,683.7513,450.679993
2022-03,685.0056,435.040009
2022-04,682.2324,453.309998
2022-05,682.4111,412.070007
2022-06,679.9059,415.170013
